date,"Polarised, beads split","Polarised, beads together",Unpolarised,"Polarised, no lamellipodia","Polarised, lamellipodia",beads non-adhesive,Excluded,Comments
22-10-2006,22-10-06_M2_P2_C7,22-10-06_M2_P1_C4,22-10-06_M2_P1_C1,22-12-07_M6_P3_C15,,,22-10-06_M2_P1_C5,Beads too far apart from the beginning
22-10-2006,22-10-06_M2_P2_C8,22-10-06_M2_P1_C6,22-10-06_M2_P1_C3,22-12-07_M6_P3_C12,,,22-10-06_M2_P1_C2,22-10-06_M2_P1_C2  polarised from the start
22-10-2006,22-10-06_M2_P2_C6,22-10-06_M2_P2_C2,,22-12-07_M6_P3_C14,,,,
22-10-2006,22-10-06_M2_P2_C5,22-10-06_M2_P1_C2,,22-12-07_M6_P3_C11,,,,
22-10-2006,22-10-06_M6_P3_C7,22-10-06_M6_P3_C11,,,,,,
22-10-2006,22-10-06_M6_P3_C5,22-10-06_M6_P3_C13,,,,,,
22-10-2006,,22-10-06_M6_P3_C12,,,,,,
22-10-2006,,22-10-06_M6_P3_C9,,,,,,
22-10-2006,,22-10-06_M6_P3_C4,,,,,,
22-10-2006,,22-10-06_M6_P3_C3,,,,,,
22-12-2007,,22-12-07_M9_P3_C9,22-12-07_M5_P3_C5,,22-12-07_M6_P3_C16,22-12-07_M8_P3_C6,22-12-07_M5_P3_C2,"Very blebby, but polarised"
22-12-2007,,22-12-07_M8_P3_C6,,,,22-12-07_M7_P3_C3,22-12-07_M4_P3_C3,Resting field kept at 15mT
22-12-2007,,22-12-07_M8_P3_C4,,,,22-12-07_M5_P3_C5,,
22-12-2007,,22-12-07_M7_P3_C7,,,,22-12-07_M5_P3_C1,,
22-12-2007,,22-12-07_M5_P3_C18,,,,,,
22-12-2007,,22-12-07_M5_P3_C17,,,,,,
22-12-2007,,22-12-07_M5_P3_C13,,,,,,
22-12-2007,,22-12-07_M5_P3_C8,,,,,,
22-12-2007,,22-12-07_M5_P3_C1,,,,,,
22-12-2007,,,,,,,,
,,,,,,,,
,,,,,,,,
