cellID;phase;color;comments
23-10-31_M1_P1_C1;S/G2;green;
23-10-31_M1_P1_C2;S/G2;green;
23-10-31_M1_P1_C3;S/G2;green;
23-10-31_M1_P1_C4;G1/S;orange; late G1
23-10-31_M1_P1_C5;S/G2;green;
23-10-31_M1_P1_C6;G1;red;
23-10-31_M1_P1_C7;G1/S;yellow;early S
23-10-31_M1_P1_C8;S/G2;green;
23-10-31_M1_P2_C1;S/G2;green;
23-10-31_M1_P2_C2;S/G2;green;
23-10-31_M1_P2_C3;S/G2;green;
23-10-31_M1_P2_C4;G1;red;
23-10-31_M1_P2_C5;M;green;
23-10-31_M1_P2_C6;S/G2;green;
23-10-31_M1_P2_C7;S/G2;green;
23-10-31_M1_P2_C8;S/G2;green;
23-10-31_M1_P2_C9;M;green;
23-10-31_M1_P2_C10;S/G2;green;
23-10-31_M1_P2_C11;S/G2;green;
23-10-31_M1_P2_C12;S/G2;green;
23-10-31_M1_P2_C13;S/G2;green;
23-10-31_M1_P2_C14;M;green;
23-10-31_M1_P2_C15;S/G2;green;
23-10-31_M1_P2_C16;S/G2;green;
23-10-31_M1_P2_C17;S/G2;green;
23-10-31_M1_P2_C18;S/G2;green;
